loss,early_loss,full_loss,confidence
0.36483470737934115,0.463378857254982,0.2040521455705166,0.9625179190635681
0.26551302754878997,0.34675647580623625,0.1329579240679741,0.913563886642456
0.2321120345592499,0.29913925504684447,0.12275183063745498,0.8489697852134704
0.23591037094593048,0.3293922814130783,0.08338725033029915,0.8389576392173768
0.25308654326200486,0.404678826212883,0.005780995376582723,0.818901349067688
0.2540706716775894,0.4094896410703659,0.0006302874189859722,0.8145654869079589
0.2512286898493767,0.40610493409633636,0.0002125540692504728,0.8087541830539703
0.24275920629501344,0.402274169921875,0.0002475084349280223,0.7580338752269745
0.23336398446559906,0.39653139078617095,0.00015591468203638215,0.7208807144165039
0.22103369903564454,0.36989813220500944,0.00016121394344372674,0.7438972949981689
0.19998411333560945,0.33070750534534454,7.909901106904726e-05,0.761615795135498
0.19650042617321015,0.32425376451015475,5.6984569971973544e-05,0.7650504798889161
0.19550166714191436,0.3201160638332367,6.287380956564448e-05,0.7766891424655914
0.19265796673297883,0.3171233730316162,3.794563020710484e-05,0.768751953125
0.19093131351470946,0.31485221898555754,2.607423553490662e-05,0.766136299610138
0.19074667894840241,0.31447827410697937,2.729532514422317e-05,0.7664711799621582
0.18987429320812224,0.31386212205886843,3.033876683184644e-05,0.7625016760826111
0.18925435960292816,0.3120585426092148,3.184993287504767e-05,0.7663386282920838
0.18873261040449144,0.31137683713436126,2.6319656313717132e-05,0.765527971982956
0.18855263274908066,0.3110257787704468,2.6881057063292245e-05,0.7656864087581634
